city,date,pm25,pm10,o3,no2,so2,co,hour,day_of_week,month,is_weekend,season,aqi,dew,temperature,humidity,wind,no,nh3,wind_direction,pressure,feels_like,weather,weather_description
jharsuguda,2019-10-03 00:00:00,172.0,130.0,7.0,10.0,3.0,25.0,0,3,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-05 00:00:00,182.0,125.0,,,,,0,5,10,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-06 00:00:00,144.0,93.0,18.0,8.0,3.0,28.0,0,6,10,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-07 00:00:00,64.0,47.0,4.0,5.0,,16.0,0,0,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-08 00:00:00,93.0,,1.0,5.0,,18.0,0,1,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-09 00:00:00,55.0,35.0,2.0,6.0,4.0,16.0,0,2,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-10 00:00:00,77.0,58.0,2.0,4.0,4.0,18.0,0,3,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-11 00:00:00,114.0,77.0,5.0,8.0,7.0,5.0,0,4,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-10-12 00:00:00,163.0,156.0,3.0,7.0,5.0,9.0,0,5,10,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-03 00:00:00,166.0,109.0,8.0,9.0,3.0,27.0,0,6,11,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-04 00:00:00,,112.0,8.0,8.0,3.0,22.0,0,0,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-05 00:00:00,133.0,81.0,12.0,9.0,3.0,24.0,0,1,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-06 00:00:00,128.0,48.0,23.0,6.0,3.0,22.0,0,2,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-07 00:00:00,73.0,52.0,4.0,5.0,1.0,16.0,0,3,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-08 00:00:00,101.0,,2.0,5.0,,18.0,0,4,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-09 00:00:00,78.0,35.0,2.0,4.0,7.0,17.0,0,5,11,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-10 00:00:00,92.0,48.0,1.0,4.0,4.0,17.0,0,6,11,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-11 00:00:00,116.0,95.0,3.0,5.0,8.0,5.0,0,0,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-11-12 00:00:00,191.0,110.0,4.0,6.0,6.0,8.0,0,1,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-12-02 00:00:00,,208.0,5.0,14.0,9.0,31.0,0,0,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-03 00:00:00,164.0,120.0,8.0,7.0,3.0,28.0,0,1,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-04 00:00:00,160.0,99.0,12.0,8.0,3.0,19.0,0,2,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-05 00:00:00,129.0,89.0,14.0,9.0,3.0,25.0,0,3,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-06 00:00:00,76.0,37.0,12.0,4.0,11.0,14.0,0,4,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-07 00:00:00,77.0,63.0,3.0,5.0,1.0,17.0,0,5,12,1,winter,,,,,,,,,,,,
jharsuguda,2019-12-08 00:00:00,,17.0,9.0,3.0,,17.0,0,6,12,1,winter,,,,,,,,,,,,
jharsuguda,2019-12-09 00:00:00,95.0,30.0,3.0,5.0,4.0,16.0,0,0,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-10 00:00:00,86.0,56.0,3.0,2.0,4.0,18.0,0,1,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-11 00:00:00,143.0,89.0,8.0,5.0,7.0,5.0,0,2,12,0,winter,,,,,,,,,,,,
jharsuguda,2019-12-12 00:00:00,168.0,91.0,4.0,6.0,5.0,5.0,0,3,12,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-01 00:00:00,111.0,41.0,19.0,5.0,1.0,10.0,0,2,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-02 00:00:00,133.0,63.0,34.0,8.0,1.0,7.0,0,3,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-03 00:00:00,169.0,88.0,,,,,0,4,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-04 00:00:00,142.0,121.0,42.0,,1.0,2.0,0,5,1,1,winter,,,,,,,,,,,,
jharsuguda,2020-01-05 00:00:00,142.0,,,,,,0,6,1,1,winter,,,,,,,,,,,,
jharsuguda,2020-01-06 00:00:00,164.0,70.0,38.0,,2.0,5.0,0,0,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-07 00:00:00,49.0,42.0,20.0,1.0,2.0,1.0,0,1,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-08 00:00:00,108.0,33.0,8.0,3.0,5.0,1.0,0,2,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-09 00:00:00,143.0,51.0,9.0,2.0,5.0,3.0,0,3,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-10 00:00:00,102.0,,,,,,0,4,1,0,winter,,,,,,,,,,,,
jharsuguda,2020-01-11 00:00:00,145.0,83.0,27.0,5.0,5.0,8.0,0,5,1,1,winter,,,,,,,,,,,,
jharsuguda,2020-01-12 00:00:00,153.0,104.0,29.0,3.0,12.0,11.0,0,6,1,1,winter,,,,,,,,,,,,
jharsuguda,2020-02-01 00:00:00,86.0,44.0,16.0,6.0,1.0,11.0,0,5,2,1,winter,,,,,,,,,,,,
jharsuguda,2020-02-02 00:00:00,125.0,145.0,22.0,12.0,2.0,7.0,0,6,2,1,winter,,,,,,,,,,,,
jharsuguda,2020-02-03 00:00:00,171.0,60.0,12.0,6.0,3.0,,0,0,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-04 00:00:00,151.0,127.0,42.0,,1.0,2.0,0,1,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-05 00:00:00,,87.0,59.0,,,3.0,0,2,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-06 00:00:00,139.0,59.0,28.0,,2.0,5.0,0,3,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-07 00:00:00,53.0,,,,,,0,4,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-08 00:00:00,78.0,51.0,10.0,2.0,5.0,1.0,0,5,2,1,winter,,,,,,,,,,,,
jharsuguda,2020-02-09 00:00:00,123.0,71.0,12.0,2.0,8.0,5.0,0,6,2,1,winter,,,,,,,,,,,,
jharsuguda,2020-02-11 00:00:00,153.0,105.0,32.0,6.0,5.0,9.0,0,1,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-02-12 00:00:00,170.0,105.0,32.0,3.0,11.0,10.0,0,2,2,0,winter,,,,,,,,,,,,
jharsuguda,2020-03-01 00:00:00,104.0,75.0,18.0,5.0,1.0,11.0,0,6,3,1,spring,,,,,,,,,,,,
jharsuguda,2020-03-02 00:00:00,150.0,91.0,12.0,10.0,3.0,7.0,0,0,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-03 00:00:00,155.0,43.0,22.0,7.0,2.0,,0,1,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-04 00:00:00,147.0,101.0,52.0,,2.0,2.0,0,2,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-05 00:00:00,159.0,61.0,33.0,,,3.0,0,3,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-06 00:00:00,163.0,61.0,20.0,,2.0,,0,4,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-08 00:00:00,125.0,48.0,19.0,3.0,4.0,1.0,0,6,3,1,spring,,,,,,,,,,,,
jharsuguda,2020-03-09 00:00:00,140.0,75.0,6.0,1.0,6.0,23.0,0,0,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-10 00:00:00,,,6.0,2.0,3.0,1.0,0,1,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-11 00:00:00,176.0,95.0,30.0,6.0,6.0,8.0,0,2,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-03-12 00:00:00,168.0,113.0,29.0,3.0,8.0,11.0,0,3,3,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-01 00:00:00,136.0,84.0,23.0,4.0,1.0,12.0,0,2,4,0,spring,,,,,,,,,,,,
