city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2020-12-09,92.0,,,,,
jharsuguda,2020-12-10,89.0,33.0,12.0,4.0,3.0,5.0
jharsuguda,2020-12-11,117.0,72.0,22.0,5.0,5.0,7.0
jharsuguda,2020-12-12,155.0,82.0,27.0,4.0,6.0,10.0
jharsuguda,2021-01-01,182.0,116.0,30.0,4.0,8.0,13.0
jharsuguda,2021-01-02,131.0,91.0,28.0,5.0,14.0,14.0
jharsuguda,2021-01-03,,89.0,41.0,3.0,9.0,10.0
jharsuguda,2021-01-04,132.0,,,,,
jharsuguda,2021-01-05,139.0,55.0,21.0,,7.0,11.0
jharsuguda,2021-01-06,35.0,29.0,9.0,6.0,,10.0
jharsuguda,2021-01-07,51.0,,,,,
jharsuguda,2021-01-08,40.0,25.0,9.0,1.0,16.0,7.0
jharsuguda,2021-01-09,,36.0,1.0,2.0,16.0,7.0
jharsuguda,2021-01-10,,28.0,,2.0,14.0,7.0
jharsuguda,2021-01-11,97.0,55.0,34.0,3.0,18.0,8.0
jharsuguda,2021-02-01,177.0,108.0,34.0,4.0,9.0,12.0
jharsuguda,2021-02-02,151.0,85.0,30.0,5.0,11.0,14.0
jharsuguda,2021-02-03,,102.0,43.0,5.0,6.0,10.0
jharsuguda,2021-02-04,,50.0,25.0,8.0,9.0,12.0
jharsuguda,2021-02-05,83.0,52.0,17.0,1.0,6.0,10.0
jharsuguda,2021-02-06,54.0,41.0,18.0,6.0,,10.0
jharsuguda,2021-02-08,45.0,30.0,12.0,,12.0,7.0
jharsuguda,2021-02-09,76.0,27.0,1.0,2.0,15.0,7.0
jharsuguda,2021-02-10,,54.0,1.0,,24.0,8.0
jharsuguda,2021-02-11,94.0,55.0,31.0,3.0,17.0,8.0
jharsuguda,2021-03-01,167.0,104.0,32.0,4.0,7.0,13.0
jharsuguda,2021-03-02,137.0,84.0,25.0,4.0,15.0,14.0
jharsuguda,2021-03-03,244.0,114.0,54.0,5.0,3.0,11.0
jharsuguda,2021-03-04,84.0,43.0,31.0,5.0,15.0,12.0
jharsuguda,2021-03-05,71.0,36.0,21.0,,5.0,10.0
jharsuguda,2021-03-06,70.0,52.0,19.0,6.0,,10.0
jharsuguda,2021-03-08,49.0,32.0,12.0,,12.0,7.0
jharsuguda,2021-03-09,50.0,30.0,3.0,2.0,12.0,7.0
jharsuguda,2021-03-10,,54.0,1.0,,24.0,8.0
jharsuguda,2021-03-11,106.0,62.0,39.0,3.0,14.0,8.0
jharsuguda,2021-03-12,97.0,56.0,45.0,8.0,19.0,8.0
